Title,Release Year,Score,Director(s),Critics Consensus,Casting
Heat,1995,84,Michael Mann,"Though Al Pacino and Robert De Niro share but a handful of screen minutes together, Heat is an engrossing crime drama that draws compelling performances from its stars -- and confirms Michael Mann's mastery of the genre.","Al Pacino, Robert De Niro, Val Kilmer, Jon Voight"
The Raid: Redemption,2011,87,Gareth Evans,"No frills and all thrills, The Raid: Redemption is an inventive action film expertly paced and edited for maximum entertainment.","Iko Uwais, Joe Taslim, Donny Alamsyah, Yayan Ruhian"
Mission: Impossible - Fallout,2018,98,Christopher McQuarrie,"Fast, sleek, and fun, Mission: Impossible - Fallout lives up to the ""impossible"" part of its name by setting yet another high mark for insane set pieces in a franchise full of them.","Tom Cruise, Henry Cavill, Ving Rhames, Simon Pegg"
Raiders of the Lost Ark,1981,94,Steven Spielberg,"Featuring bravura set pieces, sly humor, and white-knuckle action, Raiders of the Lost Ark is one of the most consummately entertaining adventure pictures of all time.","Harrison Ford, Karen Allen, Paul Freeman, Wolf Kahler"
Aliens,1986,94,James Cameron,"While Alien was a marvel of slow-building, atmospheric tension, Aliens packs a much more visceral punch, and features a typically strong performance from Sigourney Weaver.","Sigourney Weaver, Carrie Henn, Michael Biehn, Paul Reiser"
Hard-Boiled,1992,92,John Woo,"Boasting impactful action as well as surprising emotional resonance, Hard Boiled is a powerful thriller that hits hard in more ways than one.","Chow Yun-Fat, Bowie Lam, Philip Chan, Tony Leung Chiu Wai"
The Matrix,1999,83,Lilly Wachowski,"Thanks to the Wachowskis' imaginative vision, The Matrix is a smartly crafted combination of spectacular action and groundbreaking special effects.","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving"
Terminator 2: Judgment Day,1991,91,James Cameron,"T2 features thrilling action sequences and eye-popping visual effects, but what takes this sci-fi action landmark to the next level is the depth of the human (and cyborg) characters.","Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick"
Die Hard,1988,94,John McTiernan,Its many imitators (and sequels) have never come close to matching the taut thrills of the definitive holiday action classic.,"Bruce Willis, Alan Rickman, Bonnie Bedelia, Reginald VelJohnson"
Mad Max: Fury Road,2015,97,George Miller,"With exhilarating action and a surprising amount of narrative heft, Mad Max: Fury Road brings George Miller's post-apocalyptic franchise roaring vigorously back to life.","Tom Hardy, Charlize Theron, Nicholas Hoult, Hugh Keays-Byrne"
